(-1 ; -1),(-1 ; 1),(1 ; -1),(1 ; 1),"(-1,41 ; 0)","(1,41 ; 0)","(0 ; -1,41)","(0 ; 1,41)",(0 ; 0),(0 ; 0),(0 ; 0)
"0,1083333333","0,03333333333","0,1943333333","0,1696666667","0,049","0,1","0,1686666667","0,1146666667","0,09633333333","0,09633333333","0,096"
"0,025","0,04166666667","0,2146666667","0,128","0,02233333333","0,254","0,264","0,06633333333","0,1183333333","0,1156666667","0,115"
"0,033","0,03433333333","0,1846666667","0,097","0,01766666667","0,192","0,118","0,1596666667","0,06066666667","0,06233333333","0,06066666667"
"0,039","0,05266666667","0,2583333333","0,148","0,02633333333","0,092","0,1506666667","0,05866666667","0,1173333333","0,117","0,117"
"0,1016666667","0,04533333333","0,2416666667","0,1586666667","0,02066666667","0,154","0,1683333333","0,09366666667","0,12","0,1156666667","0,1173333333"
"0,05066666667","0,032","0,2323333333","0,069","0,026","0,1073333333","0,1746666667","0,1446666667","0,09133333333","0,08966666667","0,093"
"0,118","0,03566666667","0,304","0,1823333333","0,02366666667","0,06466666667","0,1053333333","0,04","0,1916666667","0,1893333333","0,185"
"0,02733333333","0,047","0,3213333333","0,114","0,02366666667","0,1086666667","0,096","0,08266666667","0,1366666667","0,1386666667","0,1373333333"
"0,044","0,03766666667","0,1536666667","0,2063333333","0,02733333333","0,1256666667","0,158","0,08633333333","0,132","0,1336666667","0,1343333333"
